exp_id	phase	agent_id	model	tokens_in	tokens_out	cost_usd	timestamp	description
EXP-001	select+implement+verify+bench	claude	claude-sonnet-4-6	~50000	~8000	~0.20	20260601	Lazy epoll_ctl(DEL) deferral - single-agent full loop
EXP-002	select+implement+verify+bench	claude	claude-sonnet-4-6	~40000	~6000	~0.16	20260601	Skip timerfd_settime on NONBLOCK path - no-op (USING_TIMERFD not active)
EXP-003	select+implement+verify+bench	claude	claude-sonnet-4-6	~35000	~5000	~0.14	20260601	Guard epoll changelist flush n_changes>0 - below noise floor
EXP-004	select+implement+verify+bench	claude	claude-sonnet-4-6	~80000	~12000	~0.38	20260601	EPOLLONESHOT for non-persistent events - ACCEPTED -18% cascade_chain
EXP-005	select+implement+verify+bench	claude	claude-sonnet-4-6	~90000	~10000	~0.36	20260601	gettime cache-warming for event_add timeout path - REJECTED below noise floor
EXP-009	select+implement+verify+bench	claude	claude-sonnet-4-6	~85000	~9000	~0.34	20260601	Fast path evmap_io_del_ ONESHOT single-reader - REJECTED below noise floor
EXP-011	select+implement+verify	claude	claude-sonnet-4-6	~55000	~7000	~0.22	20260601	EPOLLET instead of EPOLLONESHOT for non-persist events - REJECTED correctness failure
EXP-012	select+implement+verify+bench	claude	claude-sonnet-4-6	~95000	~11000	~0.38	20260601	Tier 6a single-threaded fast path (with_lock cache) - REJECTED below noise floor
EXP-013	select+implement+verify+bench	claude	claude-sonnet-4-6	~110000	~12000	~0.44	20260601	Tier 2a NUM_READ_IOVEC 4→8 (buffer.c) - REJECTED 0% delta (cascade bypasses evbuffer)
EXP-014	select+implement+verify+bench	claude	claude-sonnet-4-6	~120000	~13000	~0.48	20260601	Tier 6b cross-thread notify skip (event_callback_activate_nolock_) - REJECTED below noise floor
